
		                             0  1  2  3  4  5   6    7   8  9  10
   nazwa                              typ o1 o2 c1 c2 c3 opr  stan,X, Y, Z       
@ 116,

drzwi boczne w komplexie 2.2.1,       14, 41,42,0, 7, 2,  1,   0,  2, 1, 2,
drzwi boczne w komplexie 2.2.2,       14, 41,43,0, 8, 4,  1,   0,  2, 1, 2,
przycisk do drzwi bocznych,            1, 32,33,1, 0, 0,  1,   0,  0, 0, 0,
drzwi boczne w komplexie 2.2.3,       14, 41,35,0, 9, 5,  1,   0,  2, 1, 2,
drzwi boczne w komplexie 2.2.4,       14, 41,42,9, 7, 6,  1,   0,  1, 1, 2,
drzwi boczne w komplexie 2.2.5,       14, 41,43,9, 8, 7,  1,   0,  1, 1, 2,
drzwi boczne w komplexie 2.2.6,       14, 41,35,9, 9, 0,  1,   0,  1, 1, 2,
flop 1      ,                          6, 57,58,102,62, 0,1,  0,  0, 0, 0,
przyc. pal 0.1,                        1, 65,66,10, 0, 0, 1,   0,  0, 0, 0,
paleta 1   0.1,                        4,  2, 5, 0, 0, 0, 1,   0,  0, 0, 0,
--- {10} ----------------------------- 0---1--2--3--4--5--6----7---8--9--10,

przy windyL1,                          1, 32,33,12, 0, 0, 1,   0,  0, 0, 0,
winda L1    ,                          5,  3, 3, 0, 0, 0, 1,   0,  0, 0, 0,
p1 windyL2  ,                          1, 32,33,14, 0, 0, 1,   0,  0, 0, 0,
winda L2    ,                          5,  7, 4, 0, 0, 0, 1,   0,  0, 0, 0,
p windyL3   ,                          1, 32,33,16, 0, 0, 1,   0,  0, 0, 0,
winda L3    ,                          5,  7, 7, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 1.1,                         12, 13,13, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 1.2,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 2.1,                         12, 13,13, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 2.2,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
--- {20} ----------------------------- 0---1--2--3--4--5--6----7---8--9--10,

terminal 3.1,                         12, 13,13, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 3.2,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 3.3,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 3.4,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 3.5,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 3.6,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 3.7,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 3.8,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 3.9,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 3.a,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
--- {30} ----------------------------- 0---1--2--3--4--5--6----7---8--9--10,

terminal 3.b,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 3.c,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 3.d,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 4.1,                         12, 13,13, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 4.2,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0, 
terminal 4.3,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 4.4,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 0.1,                         12, 13,13, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 0.2,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
terminal 0.3,                         12, 15,15, 0, 0, 0, 1,   0,  0, 0, 0,
--- {40} ----------------------------- 0---1--2--3--4--5--6----7---8--9--10,

przycisk nr1 uruchomienie kîadki 4.1,  1, 32,33,42, 0, 0, 1,   0,  0, 0, 0,
kîadka   4.1,                         13,  2, 8, 3, 9,43, 2,   0,  3, 1, 4,
cieï kîadki  4.2,                     13,  2, 1, 2, 9,44, 1,   0,  3, 1, 4,
kîadka   4.3,                         13,  0, 8, 3,10, 0, 1,   0,  3, 1, 4, 
*flop do kanciapy ,                    6, 57,58,46,57, 0, 1,   0,  0, 0, 0,
*drzwi do kanciapy,                    2, 22,34,43, 0, 0, 1,   0,  0, 0, 0,
flop do reaktora ,                     6, 57,58,48,66, 0, 1,   0,  0, 0, 0,
drzwi do reaktora,                     2, 22,34,43, 0, 0, 1,   0,  0, 0, 0,
gîówny wîâcznik zasilania teleporterów,1, 32,33, 2, 0, 0, 1,   0,  0, 0, 0,
przyc. telportu L0,                    1, 65,66,51, 0, 0, 1,   0,  0, 0, 0,
--- {50} ----------------------------- 0---1--2--3--4--5--6----7---8--9--10,

teleport        L0,                   13,  5, 6, 2, 7, 0, 1,   0,  2, 4, 0,
przyc. telportu L1,                    1, 65,66,10, 0, 0, 1,   0,  0, 0, 0,
teleport        L1,                   13,  5, 6, 3, 9,43, 2,   0,  3, 1, 1,
przyc. telportu L2,                    1, 65,66,10, 0, 0, 1,   0,  0, 0, 0,
teleport        L2,                   13,  5, 6, 3, 9,43, 2,   0,  3, 1, 2,
przyc. telportu L3,                    1, 65,66,10, 0, 0, 1,   0,  0, 0, 0,
teleport        L3,                   13,  5, 6, 3, 9,43, 2,   0,  3, 1, 3,
przyc. telportu L4,                    1, 65,66,10, 0, 0, 1,   0,  0, 0, 0,
teleport        L4,                   13,  5, 6, 3, 9,43, 2,   0,  3, 1, 4,
flop boczne drzwi ,                    6, 57,58,61,71, 0, 1,   0,  0 ,0, 0,
--- {60} ----------------------------- 0---1--2--3--4--5--6----7---8--9--10,

boczne drzwi w piwnicy,                3, 48,49,45, 0, 0, 1,   0,  0, 0, 0,
drzwi do schronu na 4 levelu,          2, 22,34,43, 0, 0, 1,   0,  0, 0, 0,
flop do drzwi schronu na 4 levelu,     6, 57,58,62,80, 0, 1,   0,  0, 0, 0,
drzwi boczne do 2schronu na 4levelu,   3, 48,49,45, 0, 0, 1,   0,  0, 0, 0,
flop do scronu nr 2,                   6, 57,58,64,81, 0, 1,   0,  0, 0, 0,
przycisk nr2 uruchomienie kîadki 4.1,  1, 32,33,42, 0, 0, 1,   0,  0, 0, 0,
kîadka3.1 do windy na 3 levelu,       13,  2,34, 7, 4,68, 1,   0,  4, 4, 3,
