Mick Faldo
Bernie Els
Bob Sway
Phil Nickelson
Mark 'O Nearer
Greg Moron
JV Singh
Fred Funky
Lee Jansun
Lee Treevino
Bob Westes
Colin Montgunnery
Sam Torrents
John Dalsy
Scot Fruet
Fred Coupled
David Doubell
Woody Lostin
Pear Johansson
Seve Bellysteros
Bernie Langer
Jack Knickerless
Tom Heyman
Rory Pavin
Steve Elkingson
Tom Notson
Arnie Palmearl
Scott Sinsome
Consitina Rocca
Paul Hazinger
Howard Lark
David Illford
Mike Cambull
Furry Zellor
Jasper Barnavick
Per Sundstrummer
Jose Maria Olly
Nigel Manspell
Paul Phelps
Simon Edmunds
Bruce Forceith
Bill Linton
Bill Hurry
kitty Woods
Gorden Shurry
Dider Auriul
Spread Eagle
Al Batross
Bo Gee
Jimmy Farbuck
Sly Sunhook
Ray Dercup
Walter Hazard
S.T. Andrews
Sev Eniron
Bob Pope
Bernard Gallaher
Fidget Phelps
Gizmo
Sam Baldwin
Colin McRae
Chip Anrun
Fair Way
Rich Phelps
