
                                (LEVEL CODES)

                01-"52385"        12-"28283"        23-"82855"
                02-"22428"        13-"85325"        24-"58474"
                03-"84843"        14-"10769"        25-"38392"
                04-"22087"        15-"25324"        26-"55276"
                05-"38641"        16-"43542"        27-"68163"
                06-"06395"        17-"62156"        28-"75156"
                07-"33224"        18-"84678"        29-"70948"
                08-"35527"        19-"57093"        30-"54334"
                09-"48962"        20-"29264"        31-"39814"
                10-"65074"        21-"47446"        32-"52262"
                11-"62438"        22-"75330"        33-"73164"

