
                                 (LEVEL CODES)

         "CGIBVESN"   "HKLBBTDO"   "RFOAIDQL"   "PFOGCDLV"   "MBGFJCEI"
         "XINSEAPC"   "HVFSAOLD"   "NOQHBKDP"   "ULBOGCEN"   "GRBLIDJH"
         "NBEXCOIR"   "MVBEHCXO"   "XKRBLECP"   "MCNDLOBS"   "BDKGQBUH"
         "NXSBHEAJ"   "MXBCJAOM"   "TFCRBOPH"   "MDEQBCLR"   "HRCNEIBJ"
         "XAPEIBDK"   "MBAREDXO"   "TDODIENH"   "SBBJCOAK"   "CGRBBFDH"
         "FAJMCPDU"   "QXBGNCHP"   "UJMAICRR"   "RALBTKCC"   "BCHSDXEQ"
         "ULBGXCCK"   "IXBECJMG"   "JMAHSDIK"   "HVKEPCFM"   "OICPELAA"
         "KAFLGPCS"   "DQINDFGT"   "JKUAAGEX"   "FRAIETCV"   "LAIEPCTO"
         "PIDEFCLI"   "VEQGILDR"   "UJPALBVG"   "KSFGAMHO"   "TDGLPAEF"
         "DHCLBNQG"   "JFKCHSBT"   "ILMDDFHP"   "NTDMICEQ"   "KEHOCEPI"
                                   "BGKCDJEJ"

