

 Level Codes:

      TAME               CRAZY              WILD              WICKED

 01: N/A            01: TFLCAHVFBD     01: CAHRUDMJCE     01: UFMCAHVNDP
 02: IHRTDLCCAR     02: FLCIHVTGBM     02: IHRUDMCKCN     02: FMCIHVUODI
 03: LRTDLCADAO     03: LCALVTFHBJ     03: LRUDMCALCK     03: MCALVUFPDF
 04: RTDLCILEAH     04: CILVTFLIBS     04: PUDMCKLMCD     04: CILVUFMQDO
 05: TDLCAHVFAQ     05: CAHRUFLJBE     05: UDMCAHVNCM     05: GAHRTDLBEQ
 06: DLCIHVTGAJ     06: IHRUFLCKBN     06: DMCIHVUOCF     06: IHRTDLGCEJ
 07: LCALVTDHAG     07: LRUFLCALBK     07: MCALVUDPCS     07: LRTDLGADEG
 08: CILVTDLIAP     08: RUFLCILMBD     08: CILVUDMQCL     08: RTDLGILEEP
 09: CAIPUDLJAQ     09: UFLCAHVNBM     09: CAHRTFMBDO     09: TDLGAHVFEI
 10: IHRUDLCKAK     10: FLCIHVUOBF     10: IHRTFMCCDH     10: DLGIHVTGER
 11: LRUDLCALAH     11: LCALVUFPBS     11: LRTFMCADDE     11: LGALVTDHEO
 12: RUDLCILMAQ     12: CILVUFLQBL     12: RTFMCILEDN     12: GILVTDLIEH
 13: UDLCAHVNAJ     13: CAHRTDMBCL     13: TFMCAHVFDG     13: GAHRUDLJEJ
 14: DLCIHVUOAS     14: IHRTDMCCCE     14: FMCIHVTGDP     14: IHRUDLGKES
 15: LCALVUDPAP     15: LRTDMCADCR     15: MCALVTFHDM     15: LRUDLGALEP
 16: CILVUDLQAI     16: RTDMCILECK     16: CILVTFMIDF     16: RUDLGILMEI
 17: CAHRTFLBBL     17: TDMCAHVFCD     17: CAHRUFMJDH     17: UDLGAHVNER
 18: IHRTFLCCBE     18: DMCIHVTGCM     18: IHRUFMCKDQ     18: DLGIHVUOEK
 19: LRTFLCADBR     19: MCALVTDHCJ     19: LRUFMCALDN     19: LGALVUDPEH
 20: RTFLCILEBK     20: CILVTDMICS     20: RUFMCILMDG     20: GILVUDLQEQ

 HAVOC

 01: GAHRTFLBFD     06: FLGIHVTGFE     11: LRUFLGALFS     16: GILVUFLQFD
 02: IHRTFLGCFM     07: LGALVTFHFR     12: RUFLGILMFL     17: GAHRTDMBGD
 03: LRTFLGADFJ     08: GILVTFLIFK     13: UFLGAHVNFE     18: IHRTDMGCGM
 04: RTFLGILEFS     09: GAHRUFLJFM     14: FLGHIVUOFN     19: LRTDMGADGJ
 05: TFLGAHVFFL     10: IHRUFLGKFF     15: LGALVUFPFK     20: RTDMGILEGS


