
                                 (LEVEL CODES)

            01-"00512"  11-"07168"  21-"15878"  31-"08206"  41-"31246"
            02-"01536"  12-"05122"  22-"14854"  32-"24590"  42-"32270"
            03-"01024"  13-"05634"  23-"14342"  33-"25103"  43-"31758"
            04-"03072"  14-"04610"  24-"10246"  34-"26126"  44-"29726"
            05-"03584"  15-"04098"  25-"10758"  35-"25614"  45-"30238"
            06-"02560"  16-"12290"  26-"11782"  36-"27662"  46-"29214"
            07-"02048"  17-"12820"  27-"11270"  37-"28174"  47-"28702"
            08-"06144"  18-"13856"  28-"09222"  38-"27150"  48-"20510"
            09-"06656"  19-"13314"  29-"09734"  39-"26638"  49-"21022"
            10-"07680"  20-"15362"  30-"08718"  40-"30734"  50-"22046"
            51-"21534"  61-"17982"  71-"18559"  81-"29439"  91-"28159"
            52-"23582"  62-"16958"  72-"22655"  82-"30463"  92-"26111"
            53-"24094"  63-"16510"  73-"23167"  83-"29951"  93-"26623"
            54-"23070"  64-"16511"  74-"24191"  84-"31999"  94-"25599"
            55-"22558"  65-"17023"  75-"23679"  85-"32511"  95-"25087"
            56-"18494"  66-"18047"  76-"21631"  86-"31487"  96-"08703"
            57-"19006"  67-"17535"  77-"22143"  87-"30975"  97-"09215"
            58-"20030"  68-"19583"  78-"21247"  88-"26879"  98-"10239"
            59-"19518"  69-"20095"  79-"20735"  89-"27647"  99-"09727"
            60-"17470"  70-"19071"  80-"28927"  90-"28671" 100-"44543"
                                    ??-"11775"

