; This file's format has been changed and the professions altered.
; There is now information after the comma on the node in which to
; look for additional information when the profession is double-clicked.
;
; The reference guide file is Prices.guide
; 
15 animal trainer,Animal Trainer
5 alchemist,Arcane Lore-Alchemist
5 Apothecary sage,Arcane Lore-Apothecary
5 Chantry sage,Arcane Lore-Chantry
5 Shek-Pvar sage,Arcane Lore-Shek-Pvar
20 chandler,Chandler
15 charoaler,Charcoaler
35 clothier,Clothier
10 courtesan,Courtesan
15 embalmer,Embalmer
45 merchant,Farm-Market
20 fletcher,Fletcher-bowyer
10 glassworker,Glassworker
8 harper,Harper
15 herald,Herald
25 hide worker,Hideworker
30 employer,Incomes
50 innkeeper,Innkeeper
18 jeweller,Jeweller
10 lexigrapher,Lexigrapher
5 Lia-Kavair,Lia-Kavair
10 litigant,Litigant
20 locksmith,Locksmith
30 mason,Mason
40 mercantyler,Mercantyler
45 metalsmith,Metalsmith
60 miller,Miller
25 miner,Miner
27 ostler,Ostler
20 perfumer,Perfumer
25 physician,Physician
20 navigator,Pilot
30 potter,Potter
45 salter,Salter
25 shipwright,Shipwright
65 shopkeep,Shop
25 slaver,Slaver
30 priest,Temple
35 tent maker,Tentmaker
30 thatcher,Thatcher
20 thespian,Thespian
35 timberwright,Timerwright
40 tutor,Tutoring
35 weapon crafter,Weaponcrafter
15 whaler,Whaler
45 woodcrafter,Woodcrafter
