;   %  # Copper   %  # Silver   %    # Gold   %   # EP/PP    % # Gems   % #Art   % Mgk Type  # #
;
A  25  1d3*1000  30  2d10*100  40  1d6*1000  35   3d6*100   60 1d4*10  50  2d6  30 ANY  -    3 0
B  50  1d6*1000  25  1d3*1000  25  2d10*100  25  1d10*100   30    1d8  20  1d4  10 ARM WPN   1 1
C  20 1d10*1000  30  1d6*1000   0         0  10   1d6*100   25    1d6  20  1d3  10 ANY  -    2 0
D  10  1d6*1000  15 1d10*1000  50  1d3*1000  15   1d6*100   30   1d10  25  1d6  15 ANY POT   2 1
E   5  1d6*1000  25 1d10*1000  25  1d4*1000  25   3d6*100   15   1d12  10  1d6  25 ANY SCR   3 1
F   0         0  10  3d6*1000  40  1d6*1000  15  1d4*1000   20   2d10  10  1d8  30 NWP  -    5 0
G   0         0   0         0  50 2d10*1000  50 1d10*1000   30    3d6  25  1d6  35 ANY  -    5 0
H  25  3d6*1000  40 2d10*1000  55 2d10*1000  40  1d8*1000   50   3d10  50 2d10  15 ANY  -    6 0
I   0         0   0         0   0         0  30   1d6*100   55    2d6  50  2d4  15 ANY  -    1 0
J 100       3d8   0         0   0         0   0         0    0      0   0    0   0  -   -    0 0
K   0         0 100       3d6   0         0   0         0    0      0   0    0   0  -   -    0 0
L   0         0   0         0   0         0 100      2d12    0      0   0    0   0  -   -    0 0
M   0         0   0         0 100       2d8   0         0    0      0   0    0   0  -   -    0 0
N   0         0   0         0   0         0 100       1d6    0      0   0    0   0  -   -    0 0
O 100    1d4*10 100    1d3*10   0         0   0         0    0      0   0    0   0  -   -    0 0
P   0         0 100    1d6*10   0         0 100      1d20    0      0   0    0   0  -   -    0 0
Q   0         0   0         0   0         0   0         0  100    1d4   0    0   0  -   -    0 0
R   0         0   0         0 100      2d10 100    1d6*10  100    2d4 100  1d3   0  -   -    0 0
S   0         0   0         0   0         0   0         0    0      0   0    0 100 POT  -  1d8 0
T   0         0   0         0   0         0   0         0    0      0   0    0 100 SCR  -  1d4 0
U   0         0   0         0   0         0   0         0   90    2d8  80  1d6  70 ANY  -    1 0
V   0         0   0         0   0         0   0         0    0      0   0    0 100 ANY  -    2 0
W   0         0   0         0 100       5d6 100       1d8   60    2d8  50  1d8  60 ANY  -    2 0
X   0         0   0         0   0         0   0         0    0      0   0    0 100 POT  -    2 0
Y   0         0   0         0 100   2d6*100   0         0    0      0   0    0   0  -   -    0 0
Z 100   1d3*100 100   1d4*100 100   1d6*100 100   1d4*100   55    1d6  50  2d6  50 ANY  -    3 0
