Wisdom
Attribute-       Wisdom           Spell
 value            adj.            bonus
{
  1               -5                0
  2               -4                0
  3               -3                0
  4               -2                0
  5               -1                0
  6                0                0
  7                0                0
  8                0                0
  9                0                0
 10                0                0
 11                0                0
 12               +1                0
 13               +1                1
 14               +2                2
 15               +3                3
}
#

