Anonymous
Armitage Hank
Armpit Thief
Arse Parsnip
Banana
Banastre
Barbara Wendy
Barry White
Beelzebub
Benny
Bernie Taupin
Bollard Thief
Clara's Elbow
Dennis Moore
Des Lynam
Desmond Tutu
Dick Smothers
Egg
Ernold Same
Fat Man
Fatima
Gary Glitter
Gentleme Pant
Grunt
Hank Burrows
Hank Gathers
Hank Paper
Hank Spangler
Hank's Warts
Heave
Hitler
Janet
Jason Wason
Jeremy
Kevin's Shout
LLAARRYYYY!
Lazy Bastard
Len Ganley
Liver Sausage
Lucifer
Meowster Pant
Mollington
Mr Creosote
Mr Pants
Mr Ploppy
Mr S Dorking
Nerys Hughes
Nigel Wabooba
Ntleman Pant
Quentin Crisp
Satan
Scrotal Sack
Stevie Wonder
Tarby
Unicorn Cake
Wendy
Wendygoround
Whippet Joust
Wincy Willis
Winston
Work Shy Fop

